Index,Adsorbent,Directory,co2_0.1bar,co2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc
2310,LASYOU_clean,MOF2310,0.157114352,13.52062568,0.15723827,3.486369088,13.363511328,3.329130818,7.873798383591271
2311,LATCEO_clean,MOF2311,0.034958509,0.641138159,0.034944487,0.872336106,0.6061796500000001,0.837391619,1.4922055135714012
2312,LATCIS_clean,MOF2312,0.031081415,0.557792705,0.031202599,0.793022948,0.5267112899999999,0.761820349,1.4280648776918172
2313,LATPIG_clean,MOF2313,0.106185856,1.628520184,0.105470754,1.479022815,1.5223343280000001,1.373552061,2.2355229621558266
2314,LATYOX_clean,MOF2314,0.071058277,1.953073809,0.071185343,1.76353315,1.882015532,1.692347807,2.2485155285105822
2315,LAVCUJ_clean,MOF2315,0.003102689,0.091164581,0.003046007,0.083066539,0.08806189199999999,0.08002053199999999,2.2282344646694145
2316,LAVDOE_clean,MOF2316,0.125956517,5.173969397,0.130243799,1.807715638,5.04801288,1.6774718389999999,5.811049882295836
2317,LAVTIN_clean,MOF2317,0.140198135,3.31308591,0.142125416,2.0908333,3.172887775,1.9487078839999998,3.2171710498045316
2318,LAVTOT_clean,MOF2318,0.141348197,3.295046629,0.142537213,2.085943681,3.1536984319999997,1.9434064679999998,3.207154256744521
2319,LAVTUZ_clean,MOF2319,0.183050557,3.541218846,0.181249389,2.432850154,3.358168289,2.251600765,2.9552775135693787
2320,LAWFOF_clean,MOF2320,0.062820215,25.63017285,0.062491473,1.641105823,25.567352635000002,1.57861435,31.708508296814117
2321,LAWFUL_clean,MOF2321,0.063730344,25.75419697,0.063874423,1.645659512,25.690466626,1.581785089,31.77378052381234
2322,LAWFUN_clean,MOF2322,0.228860061,4.023154179,0.228930202,2.463654319,3.794294118,2.2347241170000003,3.315490350251528
2323,LAWGAS_clean,MOF2323,0.062620332,25.74230746,0.062402185,1.629040778,25.679687127999998,1.566638593,32.08310408730008
2324,LAWGEW_clean,MOF2324,0.062103882,25.57060151,0.063674539,1.644149733,25.508497628,1.580475194,31.57624192639409
2325,LAWGIA_clean,MOF2325,0.062290575,25.58012286,0.06325245,1.630468372,25.517832285,1.567215922,31.853056367156455
2326,LAWGOG_clean,MOF2326,0.06205112,25.67560017,0.062781659,1.635813478,25.61354905,1.5730318189999999,31.867477271146438
2327,LAWGOI_clean,MOF2327,0.038895394,3.787105248,0.039230261,0.691581237,3.748209854,0.6523509759999999,11.117958165615923
2328,LAWGUM_clean,MOF2328,0.062643668,25.73132401,0.06213635,1.627777556,25.668680342000002,1.565641206,32.09430239325165
2329,LAXCUK_clean,MOF2329,0.076551334,8.555837522,0.076835829,1.635893034,8.479286188,1.559057205,10.618630000044961
2330,LAXJAX_clean,MOF2330,0.221466173,3.5307711,0.2254741,3.15027156,3.309304927,2.92479746,2.275529308221404
2331,LAYGAV_clean,MOF2331,0.195848613,5.372381414,0.196087478,2.765604387,5.1765328010000005,2.5695169090000003,3.9440067118999256
2332,LAZJIH_clean,MOF2332,0.345131732,9.552631781,0.340001428,4.036261004,9.207500049,3.696259576,4.805124652026427
2333,LAZKUU_clean,MOF2333,0.148977623,4.2679335,0.147738733,2.363398131,4.118955876999999,2.2156593979999997,3.6664149829531274
2334,LAZXOB_clean,MOF2334,0.104581687,7.007674435,0.104152252,1.946150773,6.903092748000001,1.841998521,7.3106887904812785
2335,LECFAC_clean,MOF2335,0.18381079,16.8285248,0.181827133,2.762117424,16.64471401,2.580290291,12.369859659148837
2336,LECFEG_clean,MOF2336,0.171019656,16.06880455,0.170339483,2.574357868,15.897784893999999,2.4040183849999996,12.672885528754358
2337,LECGIL_clean,MOF2337,0.034615287,1.830030769,0.034618439,0.90975202,1.795415482,0.875133581,4.08409867102959
2338,LEDLEN_clean,MOF2338,0.108125774,8.566999161,0.108181155,2.165673811,8.458873387,2.057492656,8.03149775780422
2339,LEGGIO_clean,MOF2339,0.228612112,7.142198659,0.229971043,3.109327077,6.9135865469999995,2.879356034,4.6636546176367215
2340,LEHXUT_clean,MOF2340,0.101081108,19.84772016,0.101260897,2.279704562,19.746639052000003,2.178443665,17.676363445139497
2341,LEJBUX_clean,MOF2341,0.030794686,0.554523454,0.031393571,0.787952174,0.523728768,0.756558603,1.4288311983644622
2342,LEJCAE_clean,MOF2342,0.03496578,0.678013814,0.034167267,0.850591623,0.643048034,0.816424356,1.6183718060805723
2343,LEJCEK_clean,MOF2343,0.079232997,25.6077033,0.080806892,2.074907984,25.528470303000002,1.9941010920000002,25.05720639662395
2344,LEJRIC_clean,MOF2344,0.076254818,4.54452963,0.076156722,1.887901577,4.468274812000001,1.8117448550000002,4.887316368342072
2345,LEJZOQ_clean,MOF2345,0.145547241,1.228958309,0.145190518,1.75698698,1.083411068,1.611796462,1.4201344729821437
2346,LELDUD_clean,MOF2346,0.089152035,16.6124218,0.088474857,2.206730743,16.523269765,2.118255886,15.284261765148264
2347,LELMIA_clean,MOF2347,0.255267194,2.645980879,0.253841445,2.410687098,2.390713685,2.156845653,2.22846963474211
