Adsorbent,CO2_0.1bar,CO2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc,CO2_3p,CH4_3p,CO2_3p_sim,CH4_3p_sim,CH4_Isotherm_1,par_1_CH4,par_2_CH4,Acc_CH4(-R2),CO2_Isotherm_1,par_1_CO2,par_2_CO2,Acc_CO2(-R2),CO2_4p,CH4_4p,CO2_4p_sim,CH4_4p_sim,CH4_Isotherm_2,par_CH4_2,Acc_CH4(-R2)_2,CO2_Isotherm_2,par_CO2_2,Acc_CO2(-R2)_2,CO2_5p,CO2_5p_sim,CO2_Isotherm_3,par_CO2_3,Acc_CO2(-R2)_3,CH4_Isotherm_3,Density,
XAPCOJ04_clean,0.196040463,8.146452903,0.194609083,3.36141917,7.95041244,3.166810087,4.920471735,10,10,8.790697917,4.812583854,Lang,9.487084591,0.102953939,-0.99999908,Lang,9.0514419,3.37141928,-0.905040896,1.4,NaN,7.863343956,NaN,NaN,NaN,-0.99999908,Quad,[4.25525197 0.         4.94218941],-0.996566164,NaN,NaN,NaN,NaN,-0.996566164,,1120.849718,
XAPCOJ05_clean,0.188432735,8.125827505,0.18765731,3.319532706,7.93739477,3.131875396,4.969944166,10,10,8.777946237,4.692221696,Lang,8.88612928,0.111881889,-0.999995624,Lang,9.04227951,3.320814603,-0.906694863,6,NaN,8.559930144,NaN,NaN,NaN,-0.999995624,Quad,[4.42521836 0.08861131 1.74240544],-0.999739921,NaN,NaN,NaN,NaN,-0.999739921,,1114.487319,
XAPCOJ06_clean,0.187893995,8.255411358,0.183798219,3.272391837,8.067517363,3.088593618,5.121937571,10,10,8.871842516,4.680529462,Lang,9.197775356,0.103614704,-0.999999185,Lang,9.11989464,3.576603968,-0.89555416,1.4,NaN,7.885182082,NaN,NaN,NaN,-0.999999185,Sips,[8.8857318  3.71463602 2.2354149 ],-0.99725251,NaN,NaN,NaN,NaN,-0.99725251,,1116.066028,
XAPCOJ07_clean,0.192066411,8.439748317,0.192203914,3.458027182,8.247681906,3.265823268,4.95520876,10,10,8.897505921,4.941144327,Lang,9.679163744,0.104287165,-0.999997387,Lang,9.076832493,4.961573179,-0.834580829,1.4,NaN,8.178786314,NaN,NaN,NaN,-0.999997387,Sips,[8.90509185 5.08476234 2.36298815],-0.998311373,NaN,NaN,NaN,NaN,-0.998311373,,1111.398053,
XAPNIN_clean,0.176530326,10.21621512,0.17648191,3.154296256,10.03968479,2.977814346,6.575797209,10,10,11.0336537,4.494274999,Lang,8.724160172,0.106250332,-0.99999739,Lang,11.36489466,3.331031451,-0.902989932,6,NaN,10.77918982,NaN,NaN,NaN,-0.99999739,Quad,[5.55094764 0.         1.61793922],-0.999779476,NaN,NaN,NaN,NaN,-0.999779476,,987.8164974,
XAPSIS_clean,0.157460459,11.0721914,0.15953557,2.906340289,10.91473094,2.746804719,7.734780348,10,10,11.65679582,4.22417927,Lang,8.755135472,0.093229338,-0.999999939,Lang,11.88538308,5.099503417,-0.822735295,1.4,NaN,10.7904305,NaN,NaN,NaN,-0.999999939,Sips,[11.66279415  5.2249315   2.56815699],-0.998123545,NaN,NaN,NaN,NaN,-0.998123545,,955.0044491,
XARPAK_clean,0.14220921,7.928598299,0.144901392,2.612995918,7.786389089,2.468094526,6.160536663,10,10,8.441135285,3.784984801,Lang,7.7547149,0.095346145,-0.999999994,Lang,8.644691839,4.146822305,-0.867743666,1.4,NaN,7.695448185,NaN,NaN,NaN,-0.999999994,Sips,[8.4485445  4.52711453 2.41632312],-0.9973926,NaN,NaN,NaN,NaN,-0.9973926,,1021.074714,
XASNUD_clean,0.148609442,11.35010668,0.146718555,2.894821795,11.20149724,2.74810324,7.960474813,10,10,11.93442338,4.37741786,Lang,10.53635607,0.071074347,-0.999999901,Lang,12.16249862,5.232667869,-0.816000833,1.4,NaN,10.94414797,NaN,NaN,NaN,-0.999999901,Sips,[11.94144077  4.6294184   2.56509836],-0.998432109,NaN,NaN,NaN,NaN,-0.998432109,,968.0012972,
XASPEP_clean,0.15276457,9.994868654,0.152449057,2.994740283,9.842104084,2.842291226,6.776084134,10,10,10.7966853,4.358024742,Lang,9.070975775,0.092469142,-0.999983671,Lang,11.12167944,3.322116459,-0.902263527,6,NaN,10.44839225,NaN,NaN,NaN,-0.999983671,Sips,[10.85997902  1.56004772  2.03879179],-0.999308481,NaN,NaN,NaN,NaN,-0.999308481,,1111.714941,
XATLIQ_clean,0.087593975,11.88610582,0.088511591,1.908710869,11.79851184,1.820199278,12.64329609,10,10,11.98155919,2.97812981,Lang,8.260398523,0.056379799,-0.999996975,Lang,93.40341188,0.014714335,-0.253818953,1.4,NaN,11.66755696,NaN,NaN,NaN,-0.999996975,Sips,[11.98212286 12.50996626  3.23012865],-0.999969757,NaN,NaN,NaN,NaN,-0.999969757,,1134.864372,
XATZOK_clean,0.192342189,10.00531282,0.190841484,3.253810607,9.812970631,3.062969123,6.243085229,10,10,12.49976668,4.825889514,Lang,10.75844526,0.081345963,-0.999968826,Lang,13.74831631,1.00114045,-0.9867586,6,NaN,11.49272787,NaN,NaN,NaN,-0.999968826,Sips,[12.90882856  0.67984539  1.65270273],-0.997371673,NaN,NaN,NaN,NaN,-0.997371673,,788.8088153,
XATZUQ_clean,0.154909622,5.363226392,0.154348191,2.881603456,5.20831677,2.727255265,3.778790164,10,10,7.884741136,4.189493333,Lang,8.69225993,0.093042618,-0.999997667,Lang,9.514089452,0.48392296,-0.997400229,NaN,NaN,NaN,NaN,NaN,NaN,-0.999997667,NaN,NaN,-0.997400229,NaN,NaN,NaN,NaN,-0.997400229,,891.9965384,
XAVKIR_clean,0.153673765,13.50688705,0.146584278,2.878538365,13.35321328,2.731954087,9.526735527,10,10,17.12752003,4.695576366,Lang,16.79679721,0.038802507,-0.999971668,Lang,18.98086337,0.924145271,-0.986809383,6,NaN,15.63028624,NaN,NaN,NaN,-0.999971668,Sips,[17.60904611  0.56151136  1.79547085],-0.996419772,NaN,NaN,NaN,NaN,-0.996419772,,534.5393837,
XAWVUN_clean,0.080612211,17.68471717,0.079105974,2.051837011,17.60410496,1.972731037,17.49911648,10,10,25.60917814,3.779126106,Lang,96.64190004,0.004069409,-0.999999953,Lang,30.60451388,0.512660099,-0.994162555,NaN,NaN,NaN,NaN,NaN,NaN,-0.999999953,NaN,NaN,-0.994162555,NaN,NaN,NaN,NaN,-0.994162555,,464.2079399,
XEBHOC_clean,0.080032552,19.24686475,0.081486092,2.03957194,19.1668322,1.958085848,19.15939667,10,10,26.50006669,3.720461917,Lang,62.80375348,0.006297083,-0.999999063,Lang,30.71651837,0.628489022,-0.991910216,NaN,NaN,NaN,NaN,NaN,NaN,-0.999999063,NaN,NaN,-0.991910216,NaN,NaN,NaN,NaN,-0.991910216,,465.0540216,
XEDGIY_clean,0.096629814,10.06751226,0.096849417,2.010346373,9.970882446,1.913496956,10.1674522,10,10,10.69738981,3.122944143,Lang,8.478202958,0.058315442,-0.99999983,Lang,10.9468701,4.287890426,-0.856254853,1.4,NaN,9.517454476,NaN,NaN,NaN,-0.99999983,Quad,[ 5.32770263 -0.4419786   3.10483006],-0.998000812,NaN,NaN,NaN,NaN,-0.998000812,,998.0567661,
XEDPED_clean,0.129214775,4.033352347,0.127414159,1.974209207,3.904137572,1.846795048,4.147953248,10,10,4.671572283,2.745855964,Lang,4.957367589,0.124162105,-0.999985308,Lang,4.957303002,1.6349562,-0.9733813,6,NaN,4.430302951,NaN,NaN,NaN,-0.999985308,Sips,[4.77415442 1.12262345 1.60759446],-0.999011369,NaN,NaN,NaN,NaN,-0.999011369,,1035.138113,
XEDPUT_clean,0.431961111,5.756624744,0.420634413,1.912770858,5.324663633,1.492136445,6.110346471,10,10,6.402760559,2.422703468,Freu,0.864504488,0.447635414,-0.996713375,Lang,6.675696832,2.345869492,-0.96741352,6,NaN,6.037403843,NaN,NaN,NaN,-0.996713375,Quad,[3.29239969 1.04901509 2.14394898],-0.99790789,NaN,NaN,NaN,NaN,-0.99790789,,1509.710434,
XEHDEV_clean,0.079666382,5.674011993,0.078295998,1.876512637,5.594345611,1.798216639,6.139028065,10,10,7.217578827,3.181783533,Lang,15.43714044,0.025962379,-0.999999569,Lang,8.011458856,0.909152041,-0.987743942,6,NaN,6.6477048,NaN,NaN,NaN,-0.999999569,Sips,[7.44642196 0.58401804 1.7324274 ],-0.997782212,NaN,NaN,NaN,NaN,-0.997782212,,958.8066451,
XEKCAT_clean,0.236255726,13.49647829,0.238041201,4.203807225,13.26022256,3.965766024,6.518362833,10,10,14.14424638,5.81100818,Lang,10.31641839,0.129003458,-0.99997205,Lang,14.39592437,5.619971359,-0.801698995,1.4,NaN,13.14319592,NaN,NaN,NaN,-0.99997205,Sips,[14.1519428   5.5857863   2.51720663],-0.998527411,NaN,NaN,NaN,NaN,-0.998527411,,940.9426361,
XEKCAT01_clean,0.228190085,13.59192528,0.226133047,4.112241239,13.3637352,3.886108192,6.71062943,10,10,14.26029155,5.757696257,Lang,10.59738449,0.118968347,-0.999974819,Lang,14.52038256,5.482853954,-0.807315187,1.4,NaN,13.16729662,NaN,NaN,NaN,-0.999974819,Sips,[14.26902394  5.15168856  2.50104573],-0.998555956,NaN,NaN,NaN,NaN,-0.998555956,,930.6951724,
XENKIM_clean,0.132164927,10.2011191,0.13366087,3.017784466,10.06895417,2.884123596,6.863102138,10,10,13.09344941,4.895543913,Lang,16.89106684,0.040811419,-0.999999169,Lang,14.6014672,0.868252109,-0.988444364,15,NaN,14.10801717,NaN,NaN,NaN,-0.999999169,Sips,[14.42134673  0.45771454  1.69448569],-0.995784609,NaN,NaN,NaN,NaN,-0.995784609,,822.0306737,
XEQRAO_clean,0.101644071,4.903103717,0.099089329,1.441441866,4.801459646,1.342352537,6.906130985,10,10,4.899546382,1.94790916,Lang,3.252016978,0.14946672,-0.999987606,Lang,9.678675292,0.102525532,-0.481080494,1.4,NaN,4.722150364,NaN,NaN,NaN,-0.999987606,Quad,[ 2.43674954 -0.87940029  6.43343836],-0.999993396,NaN,NaN,NaN,NaN,-0.999993396,,1370.809405,
XEYMAR_clean,0.072312582,8.41921928,0.072813578,1.421536994,8.346906698,1.348723416,12.0247074,10,10,9.071470502,2.162584332,Lang,5.339367525,0.068074723,-0.999999466,Lang,9.334898242,3.443634428,-0.893227832,1.4,NaN,8.127554758,NaN,NaN,NaN,-0.999999466,Quad,[4.42424153 0.         4.46233363],-0.996076477,NaN,NaN,NaN,NaN,-0.996076477,,1343.523487,
XICNOO_clean,0.053607227,13.99253495,0.053587253,1.303023071,13.93892772,1.249435818,21.80244291,10,10,14.5124188,2.31347463,Lang,20.12601682,0.012987876,-0.999999187,Lang,14.71152007,7.288955126,-0.718994063,1.4,NaN,13.73671541,NaN,NaN,NaN,-0.999999187,Sips,[14.51363904  6.01015304  3.20703849],-0.998816709,NaN,NaN,NaN,NaN,-0.998816709,,903.2940381,
XICNOO01_clean,0.053591862,14.10670584,0.05339596,1.310392826,14.05311398,1.256996866,21.85671888,10,10,14.52195731,2.331762654,Lang,21.13372394,0.012401826,-0.99999953,Lang,14.67935552,9.226252359,-0.639775641,1.4,NaN,13.88183728,NaN,NaN,NaN,-0.99999953,Sips,[14.52300476  7.16499791  3.28656635],-0.99924402,NaN,NaN,NaN,NaN,-0.99924402,,908.8531284,
XICNOO02_clean,0.053038727,14.12821895,0.052411841,1.308778748,14.07518022,1.256366907,21.91704732,10,10,14.52971733,2.3050447,Lang,17.56881322,0.015101412,-0.999999905,Lang,14.68169449,9.560420885,-0.626809044,1.4,NaN,13.89645848,NaN,NaN,NaN,-0.999999905,Sips,[14.53073576  7.22940632  3.29520863],-0.999300422,NaN,NaN,NaN,NaN,-0.999300422,,902.5986717,
XICYAL_clean,0.198107943,4.826672973,0.197176564,2.410636555,4.62856503,2.213459991,4.065153971,10,10,5.728616095,3.120448488,Lang,4.699964692,0.197657103,-0.999926689,Lang,6.1470277,1.369134088,-0.983307024,6,NaN,5.387600206,NaN,NaN,NaN,-0.999926689,Quad,[2.97246716 0.5215607  0.92935319],-0.998852286,NaN,NaN,NaN,NaN,-0.998852286,,1105.851009,
XICYIT_SL,0.135327692,8.870205293,0.136434658,1.978974485,8.734877601,1.842539827,9.100271288,10,10,9.133539447,2.775425401,Lang,5.133332953,0.11780671,-0.9999083,Lang,9.233387965,9.147390484,-0.651399428,1.4,NaN,8.657285096,NaN,NaN,NaN,-0.9999083,Sips,[9.13472385 7.34184528 2.68773656],-0.999458438,NaN,NaN,NaN,NaN,-0.999458438,,1332.334731,
